,altitude,distance
294,209.8,5466.3
295,209.0,5479.9
296,208.4,5494.6
297,207.6,5508.8
298,207.0,5523.1
299,206.4,5537.0
300,205.8,5551.0
301,205.4,5565.0
302,205.0,5579.1
303,204.4,5592.6
304,204.8,5605.8
305,205.2,5619.5
306,205.6,5632.4
307,205.8,5645.4
308,206.2,5658.5
309,205.8,5684.5
310,205.4,5697.6
311,205.0,5710.7
312,204.6,5723.9
313,204.2,5737.3
314,204.2,5751.0
315,203.6,5764.9
316,203.2,5778.7
317,202.6,5792.4
318,202.2,5806.4
319,201.6,5820.2
320,201.6,5860.2
321,201.6,5925.1
322,201.6,5962.1
323,202.0,5997.5
324,202.4,6008.6
325,202.8,6019.7
326,203.2,6030.1
327,204.0,6040.1
328,204.6,6049.9
329,205.4,6059.0
330,206.0,6067.8
331,206.8,6076.2
332,207.6,6084.3
333,208.4,6092.1
334,209.4,6099.9
335,210.2,6107.4
336,211.2,6114.7
337,212.0,6121.7
338,212.6,6128.8
339,213.4,6135.8
340,214.2,6142.4
341,215.0,6148.9
342,215.6,6168.2
343,216.0,6174.7
344,216.4,6180.7
345,217.0,6186.5
346,217.4,6192.3
347,217.8,6208.9
348,218.2,6214.5
349,218.6,6220.1
350,219.2,6225.6
351,219.6,6231.4
352,220.0,6237.9
353,220.4,6243.4
354,220.8,6248.7
355,221.2,6254.0
356,221.8,6259.5
357,222.2,6265.2
358,222.8,6270.8
359,223.2,6276.4
360,223.8,6281.8
361,223.8,6301.8
362,223.8,6344.8
363,223.0,6354.2
364,222.4,6365.2
365,221.6,6376.2
366,220.8,6387.5
367,220.0,6399.1
368,219.2,6410.9
369,218.4,6423.6
370,217.6,6436.6
371,216.8,6449.4
372,216.2,6461.2
373,215.4,6473.5
374,215.4,6485.3
375,215.6,6497.0
376,215.6,6507.9
377,215.8,6519.1
378,216.2,6529.4
379,216.8,6540.0
380,217.2,6550.3
381,217.6,6561.0
382,218.2,6571.1
383,218.8,6581.1
384,219.4,6591.1
385,220.0,6600.9
386,220.6,6610.9
387,220.6,6630.0
388,220.6,6692.3
389,220.6,6710.7
390,221.0,6719.7
391,221.4,6729.6
392,222.0,6739.4
393,222.4,6749.0
394,222.8,6759.1
395,222.8,6789.9
396,222.2,6856.7
397,221.8,6868.6
398,221.4,6880.5
399,220.8,6892.8
400,220.4,6905.2
401,220.0,6917.5
402,219.4,6930.3
403,219.0,6943.3
404,218.6,6955.8
405,218.2,6968.8
406,218.2,6981.5
407,218.2,7045.4
408,217.8,7058.8
409,217.4,7071.4
410,217.0,7085.0
411,216.4,7097.8
412,216.0,7111.2
413,216.0,7124.2
414,216.0,7188.8
415,216.0,7239.7
416,215.6,7306.0
417,214.8,7320.6
418,214.2,7335.9
419,213.0,7351.8
420,211.8,7368.6
421,210.4,7385.4
422,208.6,7403.3
423,206.8,7420.9
424,204.8,7439.1
425,202.8,7457.5
426,201.0,7475.7
427,199.0,7493.5
428,197.0,7511.5
429,195.2,7530.0
430,195.2,7598.5
431,195.2,7614.4
432,195.2,7675.9
433,195.2,7690.4
434,195.6,7759.7
435,196.0,7772.7
436,196.4,7785.5
437,196.8,7797.8
438,197.4,7811.0
439,197.4,7873.8
440,197.4,7886.0
441,197.4,7946.8
442,197.4,8018.4
443,197.4,8053.8
444,198.0,8124.2
445,198.6,8136.2
446,199.2,8147.4
447,199.8,8159.6
448,200.2,8171.2
449,200.2,8228.9
450,200.2,8295.4
451,200.8,8306.3
452,201.2,8317.8
453,201.8,8329.2
454,202.2,8340.9
455,202.6,8352.7
456,202.2,8365.1
457,201.6,8377.6
458,201.2,8390.2
459,200.6,8403.2
460,200.0,8416.0
461,199.6,8428.8
462,199.2,8441.9
463,198.8,8454.9
464,198.4,8467.9
465,197.8,8480.6
466,197.4,8493.4
467,196.8,8506.1
468,196.2,8518.7
469,195.8,8531.4
470,195.8,8593.9
471,195.8,8655.1
472,195.8,8691.9
473,195.8,8762.0
474,196.2,8818.1
475,196.6,8829.2
476,197.0,8840.0
477,197.4,8850.7
478,197.8,8861.3
479,197.8,8925.1
480,197.8,8946.3
481,198.2,8956.8
482,198.6,8967.0
483,199.2,8977.8
484,199.6,8988.3
485,200.0,8998.5
486,200.0,9060.8
487,200.0,9071.4
488,200.4,9082.0
489,200.8,9092.7
490,201.4,9103.7
491,201.8,9114.9
492,202.2,9126.4
493,202.2,9160.8
494,201.8,9172.6
495,201.2,9184.6
496,200.8,9196.5
497,200.4,9208.4
498,199.8,9220.1
499,199.8,9290.6
500,199.8,9302.3
501,199.4,9360.4
502,199.0,9372.6
503,198.6,9384.5
504,198.2,9396.3
505,197.6,9408.2
506,197.6,9420.5
507,197.6,9491.5
508,197.6,9536.4
509,197.6,9602.0
510,197.6,9655.8
511,197.6,9720.1
512,197.6,9784.1
513,197.6,9805.4
514,198.2,9868.2
515,198.6,9878.2
516,199.2,9888.7
517,199.6,9899.5
518,200.2,9909.8
519,200.2,9951.7
520,200.2,10015.8
521,200.2,10069.8
522,199.8,10135.1
523,199.4,10146.3
524,198.8,10156.9
525,198.4,10167.7
526,198.0,10178.1
527,198.0,10243.0
528,198.0,10295.4
529,198.0,10359.6
530,198.0,10415.8
531,198.0,10483.3
532,198.0,10548.0
533,198.0,10615.2
534,198.0,10638.2
535,197.6,10650.0
536,197.2,10661.8
537,196.8,10673.8
538,196.4,10686.0
539,196.0,10698.2
540,195.6,10710.4
541,195.2,10722.1
542,194.8,10733.5
543,194.4,10744.4
544,194.0,10755.6
545,194.6,10766.2
546,195.2,10776.3
547,195.6,10786.4
548,196.2,10796.2
549,197.0,10805.7
550,197.6,10815.2
551,198.2,10824.3
552,198.8,10833.8
553,199.4,10843.2
554,200.0,10852.9
555,200.6,10862.5
556,201.0,10872.1
557,201.0,10940.9
558,201.0,10951.5
559,201.0,10974.4
560,201.0,10996.6
561,201.0,11018.5
562,200.6,11053.2
563,200.2,11064.9
564,199.8,11076.6
565,199.4,11088.4
566,198.8,11100.7
567,198.4,11125.4
568,198.0,11138.0
569,197.6,11151.0
570,197.0,11163.8
571,196.4,11176.1
572,195.8,11189.0
573,195.2,11201.7
574,194.6,11214.4
575,194.6,11253.2
576,194.2,11278.8
577,193.8,11291.7
578,193.4,11304.5
579,193.0,11317.0
580,192.6,11329.4
581,192.6,11391.2
582,192.6,11451.7
583,192.6,11462.6
584,192.6,11488.4
